codigo_ibge;nome;latitude;longitude;capital;codigo_uf;NASC_VIVOS_2018
1100015;Alta Floresta D'Oeste;-11,92830;-61,99530;0;11;216
1100023;Ariquemes;-9,90571;-63,03250;0;11;795
1100031;Cabixi;-13,49450;-60,55200;0;11;39
1100049;Cacoal;-11,43430;-61,45620;0;11;754
1100056;Cerejeiras;-13,18700;-60,81680;0;11;128
1100064;Colorado do Oeste;-13,11740;-60,54540;0;11;87
1100072;Corumbiara;-12,95510;-60,89470;0;11;63
1100080;Costa Marques;-12,43670;-64,22800;0;11;135
1100098;Espigão D'Oeste;-11,52660;-61,02520;0;11;226
1100106;Guajará-Mirim;-10,78890;-65,32960;0;11;391
1100114;Jaru;-10,43180;-62,47880;0;11;414
1100122;Ji-Paraná;-10,87770;-61,93220;0;11;1037
1100130;Machadinho D'Oeste;-9,44363;-61,98180;0;11;235
1100148;Nova Brasilândia D'Oeste;-11,72470;-62,31270;0;11;119
1100155;Ouro Preto do Oeste;-10,71670;-62,25650;0;11;302
1100189;Pimenta Bueno;-11,67200;-61,19800;0;11;321
1100205;Porto Velho;-8,76077;-63,89990;1;11;4101
1100254;Presidente Médici;-11,16900;-61,89860;0;11;158
1100262;Rio Crespo;-9,69965;-62,90110;0;11;19
1100288;Rolim de Moura;-11,72710;-61,77140;0;11;441
1100296;Santa Luzia D'Oeste;-11,90740;-61,77770;0;11;54
1100304;Vilhena;-12,75020;-60,14880;0;11;747
1100320;São Miguel do Guaporé;-11,69530;-62,71920;0;11;207
1100338;Nova Mamoré;-10,40770;-65,33460;0;11;240
1100346;Alvorada D'Oeste;-11,34630;-62,28470;0;11;85
1100379;Alto Alegre dos Parecis;-12,13200;-61,83500;0;11;73
1100403;Alto Paraíso;-9,71429;-63,31880;0;11;127
1100452;Buritis;-10,19430;-63,83240;0;11;284
1100502;Novo Horizonte do Oeste;-11,69610;-61,99510;0;11;45
1100601;Cacaulândia;-10,34900;-62,90430;0;11;35
1100700;Campo Novo de Rondônia;-10,57120;-63,62660;0;11;94
1100809;Candeias do Jamari;-8,79070;-63,70050;0;11;191
1100908;Castanheiras;-11,42530;-61,94820;0;11;22
1100924;Chupinguaia;-12,56110;-60,88770;0;11;96
1100940;Cujubim;-9,36065;-62,58460;0;11;134
1101005;Governador Jorge Teixeira;-10,61000;-62,73710;0;11;66
1101104;Itapuã do Oeste;-9,19687;-63,18090;0;11;53
1101203;Ministro Andreazza;-11,19600;-61,51740;0;11;45
1101302;Mirante da Serra;-11,02900;-62,66960;0;11;87
1101401;Monte Negro;-10,24580;-63,29000;0;11;107
1101435;Nova União;-10,90680;-62,55640;0;11;45
1101450;Parecis;-12,17540;-61,60320;0;11;26
1101468;Pimenteiras do Oeste;-13,48230;-61,04710;0;11;22
1101476;Primavera de Rondônia;-11,82950;-61,31530;0;11;16
1101484;São Felipe D'Oeste;-11,90230;-61,50260;0;11;29
1101492;São Francisco do Guaporé;-12,05200;-63,56800;0;11;150
1101500;Seringueiras;-11,80550;-63,01820;0;11;84
1101559;Teixeirópolis;-10,90560;-62,24200;0;11;28
1101609;Theobroma;-10,24830;-62,35380;0;11;67
1101708;Urupá;-11,12610;-62,36390;0;11;70
1101757;Vale do Anari;-9,86215;-62,18760;0;11;46
1101807;Vale do Paraíso;-10,44650;-62,13520;0;11;51
1200013;Acrelândia;-9,82581;-66,89720;0;12;110
1200054;Assis Brasil;-10,92980;-69,57380;0;12;114
1200104;Brasiléia;-10,99500;-68,74970;0;12;243
1200138;Bujari;-9,81528;-67,95500;0;12;123
1200179;Capixaba;-10,56600;-67,68600;0;12;101
1200203;Cruzeiro do Sul;-7,62762;-72,67560;0;12;799
1200252;Epitaciolândia;-11,01880;-68,73410;0;12;130
1200302;Feijó;-8,17054;-70,35100;0;12;366
1200328;Jordão;-9,43091;-71,89740;0;12;136
1200336;Mâncio Lima;-7,61657;-72,89970;0;12;164
1200344;Manoel Urbano;-8,83291;-69,26790;0;12;135
1200351;Marechal Thaumaturgo;-8,93898;-72,79970;0;12;196
1200385;Plácido de Castro;-10,28060;-67,13710;0;12;129
1200393;Porto Walter;-8,26323;-72,75370;0;12;131
1200401;Rio Branco;-9,97499;-67,82430;1;12;3086
1200427;Rodrigues Alves;-7,73864;-72,66100;0;12;190
1200435;Santa Rosa do Purus;-9,44652;-70,49020;0;12;77
1200450;Senador Guiomard;-10,14970;-67,73620;0;12;174
1200500;Sena Madureira;-9,06596;-68,65710;0;12;341
1200609;Tarauacá;-8,15697;-70,77220;0;12;486
1200708;Xapuri;-10,65160;-68,49690;0;12;126
1200807;Porto Acre;-9,58138;-67,54780;0;12;158
